x,y
1591,1036
1626,1220
1778,1191
1737,1008
,
1652,1312
1687,1495
1839,1467
1807,1281
,
1175,1684
1198,1736
1219,1767
1221,1822
1274,1859
1356,1825
1433,1849
1458,1883
1455,1915
1435,1939
1375,1884
1309,1957
1460,2096
1527,2022
1481,1977
1536,1966
1529,1934
1478,1944
1545,1879
1531,1861
1575,1827
1506,1737
1451,1780
1411,1785
1367,1767
1315,1626
,
1361,2276
1442,2489
1569,2439
1534,2331
1567,2302
1648,2306
1655,2188
1510,2179
1488,2225
1442,2255
,
1391,2711
1422,2813
1515,2785
1654,2742
1643,2697
1646,2665
1672,2651
1697,2664
1731,2700
1837,2604
1756,2515
1615,2642
1525,2675
1508,2621
1481,2610
1462,2635
1477,2684
,
2054,2583
2052,2731
2115,2732
2155,2767
2177,2844
2377,2821
2369,2700
2396,2639
2475,2569
2388,2466
2252,2578
2297,2634
2286,2686
2224,2700
2164,2681
2145,2631
2148,2585
,
2601,2501
2604,2555
2623,2596
2677,2620
2715,2640
2745,2603
2776,2576
2802,2559
2798,2517
2805,2436
2790,2385
2763,2361
2722,2359
2676,2395
2663,2437
2639,2473
,
2771,2238
2804,2302
2858,2367
2934,2338
2989,2278
2953,2210
2903,2149
2828,2180
,
3029,2185
3091,2252
3169,2307
3231,2251
3280,2180
3216,2112
3140,2058
3073,2112
,
3032,1840
3019,1854
2998,1870
2988,1898
2993,1931
3018,1956
3052,1970
3150,1973
3183,1981
3207,1951
3236,1926
3273,1904
3254,1880
3255,1845
3242,1812
3213,1789
3175,1783
3146,1775
3133,1793
3096,1822
3066,1834
,
3237,1723
3402,1809
3451,1738
3479,1660
3316,1574
3263,1639
,
3560,1065
3565,1107
3560,1136
3543,1174
3529,1193
3546,1220
3554,1246
3576,1267
3611,1282
3657,1270
3686,1283
3695,1248
3712,1212
3737,1174
3722,1159
3700,1068
3680,1032
3646,1007
3598,1012
3573,1049
,
3667,787
3631,863
3625,948
3706,978
3802,994
3832,916
3844,834
3757,800
,
3446,597
3388,711
3548,790
3606,673
,
3160,681
2985,753
3017,831
3192,758
,
2734,1000
2800,1388
2913,1359
3007,1299
2979,1242
2975,1183
2995,1121
3037,1072
3094,1045
3175,1042
3228,1065
3307,938
3281,775
,
1908,1498
1919,1544
2023,1521
2013,1474
,
2128,1603
2124,1666
2112,1724
2082,1772
2035,1819
1999,1867
1973,1926
2078,1964
2116,1897
2164,1859
2231,1838
2300,1846
2357,1877
2400,1932
2422,2007
2534,1993
2525,1940
2508,1891
2477,1839
2432,1793
2376,1747
2342,1697
2326,1642
2317,1592
,
