x,y
278,168
287,211
322,204
314,161
,
301,274
293,231
328,225
336,267
,
184,308
203,352
232,344
244,354
220,378
251,407
271,384
259,369
297,334
273,304
245,326
232,326
217,293
,
227,442
247,489
275,447
268,449
293,448
294,421
260,420
,
228,538
238,570
282,565
324,543
344,519
322,490
263,526
,
402,288
395,322
366,361
389,371
402,352
421,342
444,344
463,360
470,380
495,377
478,339
452,316
445,287
,
384,511
384,546
408,550
412,573
460,568
459,532
482,507
461,484
430,510
406,511
,
533,459
511,510
539,519
556,498
555,466
533,459
,
548,435
569,465
601,443
579,412
,
607,423
640,452
666,419
633,391
,
597,346
600,370
643,372
662,353
642,328
,
654,316
670,280
711,301
691,337
,
540,150
555,236
601,217
595,186
616,162
650,166
668,138
662,100
,
594,92
605,116
649,97
639,73
,
701,55
686,85
727,106
742,75
,
753,100
743,140
784,152
794,111
,
730,153
726,208
748,215
767,190
759,154
