x,y
1378,1675
1454,1664
,
1344,2429
1306,2334
,
1587,2406
1588,2336
,
1641,2613
1612,2543
,
1668,2859
1679,2799
,
1827,2389
1711,2388
,
2053,2397
2187,2328
,
1832,1547
1870,1491
,
1818,1684
1889,1615
,
1898,2073
2000,2022
,
2024,2184
2128,2131
,
2189,2634
2221,2556
,
2147,1586
2144,1474
,
2102,1777
2090,1711
,
2293,2894
2351,2864
,
2469,2653
2568,2612
,
2608,2479
2546,2424
,
2463,2153
2528,2109
,
2454,1648
2371,1653
,
2597,1803
2660,1693
,
2806,1417
2914,1406
,
3077,1825
3106,1756
,
3040,2073
3102,2044
,
3279,2143
3288,2074
,
3146,1129
3244,1170
,
3381,863
3372,781
,
