x,y
0,148
0,166
1,148
1,149
1,200
1,243
1,273
2,148
2,278
3,165
3,282
3,607
3,658
4,199
4,244
4,272
4,287
4,604
4,661
5,277
5,292
5,601
5,664
6,281
6,296
6,598
6,608
6,657
6,667
7,286
7,301
7,595
7,605
7,660
7,670
8,291
8,306
8,592
8,602
8,663
8,673
9,295
9,310
9,589
9,599
9,666
9,676
10,300
10,315
10,586
10,596
10,669
10,679
11,305
11,320
11,583
11,593
11,672
11,682
12,309
12,325
12,579
12,590
12,675
12,685
13,314
13,329
13,576
13,587
13,678
13,687
14,319
14,334
14,573
14,584
14,681
15,324
15,339
15,570
15,580
15,684
16,328
16,343
16,567
16,577
16,688
17,333
17,348
17,564
17,574
17,685
18,338
18,353
18,561
18,571
19,342
19,357
19,558
19,568
20,347
20,362
20,555
20,565
21,352
21,367
21,546
21,562
22,356
22,372
22,532
22,559
22,689
23,361
23,376
23,518
23,556
23,686
24,366
24,381
24,503
24,547
25,371
25,386
25,489
25,533
26,375
26,390
26,475
26,519
27,380
27,395
27,461
27,504
28,385
28,400
28,446
28,490
28,690
29,389
29,404
29,432
29,476
29,687
30,394
30,409
30,418
30,462
31,399
31,447
32,403
32,433
33,408
33,419
34,691
35,688
40,692
41,689
46,693
47,690
52,694
53,691
58,695
59,692
64,696
65,693
70,697
71,694
76,698
77,695
82,699
83,696
88,700
89,697
94,701
95,698
100,702
101,699
106,703
107,700
112,704
113,701
118,705
119,702
124,706
125,703
130,707
131,704
136,708
137,705
142,709
143,706
148,710
149,707
154,711
155,708
160,712
161,709
166,713
167,710
172,714
173,711
178,715
179,712
184,716
185,713
188,717
189,714
192,718
193,715
196,719
197,716
200,720
201,717
204,721
205,718
208,722
209,719
212,723
213,720
216,724
217,721
220,725
221,722
224,726
225,723
228,727
229,724
232,728
233,725
236,729
237,726
240,730
241,727
244,731
245,728
249,732
250,729
253,733
254,730
257,734
258,731
261,735
262,732
265,736
266,733
269,737
270,734
273,738
274,735
277,739
278,736
281,740
282,737
285,741
286,738
289,742
290,739
293,743
294,740
297,744
298,741
301,745
302,742
305,746
306,743
309,747
310,744
314,744
315,747
319,743
320,746
323,742
324,745
328,741
329,744
333,740
334,743
338,739
339,742
342,738
343,741
347,737
348,740
352,736
353,739
356,735
357,738
361,734
362,737
366,733
367,736
371,732
372,735
375,731
376,734
380,730
381,733
383,729
384,728
384,732
385,727
385,731
386,726
386,730
387,725
387,729
388,724
388,728
389,723
389,727
390,722
390,726
391,721
391,725
392,720
392,724
393,723
394,719
395,718
395,722
396,717
396,721
397,716
397,720
398,715
398,719
399,714
399,718
400,713
400,717
401,712
401,716
402,711
402,715
403,710
403,714
404,709
404,713
405,708
405,712
406,707
406,711
407,706
407,710
408,705
408,709
409,704
409,708
410,703
410,707
411,702
411,706
412,701
412,705
413,704
414,700
415,699
415,703
416,698
416,702
417,697
417,701
418,696
418,700
419,695
419,699
420,694
420,698
421,693
421,697
422,692
422,696
423,691
423,695
424,690
424,694
425,693
